topic_id,macro_topic,macro_topic_name,source,subgroup,final_merge_group_id,micro_topic_id,display_label,topic_name_original,topic_label_refined,overall_summary,phase_1_years,phase_2_years,phase_3_years,phase_4_years,phase_1_summary,phase_2_summary,phase_3_summary,phase_4_summary,evolution_pattern,evidence_note,paper_status,selection_bucket,noncorporate_inclusion_reason,best_matched_corporate_group_id,best_dyad,topic_size,group_size,active_year_count,active_year_min,active_year_max,overall_keywords
academic_T1::academic_T1_S063,T1,Clean energy transition,academic,academic_T1,academic_T1_S063,25,Turbine Aerodynamics and Design Evolution (HAWT/VAWT),63_turbines_vawt_vawts_airfoils,Turbine Aerodynamics and Design Evolution (HAWT/VAWT),"The micro-topic tracks the evolution of turbine design, heavily focusing on aerodynamic optimization, transitioning from general CFD application to specific focus on VAWTs, and culminating in integrated urban deployment strategies.",2012-2013,2014-2018,2019-2021,2022-2025,Initial focus on broad turbine design improvement using simulation tools (CFD/ANSYS) while also considering environmental impacts like noise and vibration.,"A period of methodological refinement, moving from physical testing (wind tunnels) to detailed aerodynamic modeling of specific components like airfoils and shrouds, with a strong presence of both HAWT and VAWT concepts.","Intensification on numerical analysis, particularly applying CFD to VAWT flow characteristics and beginning to explore integration into architectural structures.","The focus narrows significantly toward deployment feasibility in built environments, emphasizing the aerodynamic interactions of VAWT arrays within urban settings and low-wind resource assessment using advanced simulation.",Broad Design -> Component Optimization -> Numerical Modeling -> Urban Integration,"The evidence shows a clear progression from general design/testing (2012-2013) to detailed aerodynamic modeling (2014-2018), followed by a strong numerical/VAWT focus (2019-2021), and finally settling on deployment challenges in constrained urban environments (2022-2025).",external_relevant_unpaired,included_noncorporate,manual_override_from_excluded_review,corporate_T1_PG03,,118,1,13,2012,2025,"[""turbines"", ""vawt"", ""vawts"", ""airfoils"", ""turbine"", ""airfoil"", ""aerodynamic"", ""windmill"", ""cfd"", ""ansys""]"
corporate_T1::corporate_T1_S015,T1,Clean energy transition,corporate,corporate_T1,corporate_T1_S015,7,Contractual Risk and Negotiation Dynamics in Financing,15_financing_contracts_negotiation_profitability,Contractual Risk and Negotiation Dynamics in Financing,"The micro-topic tracks the evolution of concerns around financing contracts, focusing initially on operational risks and marketing spend, then shifting heavily towards industry competition, negotiation hurdles, and structural liabilities across the years.",2011-2013,2014-2015,2016-2018,2020,"Early focus on operational risks within fixed price contracts, heavily influenced by the efficiency of advertising and promotional spending on profitability.","Shift towards external market pressures, specifically the impact of industry competition on securing favorable financing agreements.",Focus broadens to include structural elements like liability and the role of cooperatives alongside ongoing risks in agreements.,The most recent evidence highlights the persistent challenge of navigating complex industry competition and jurisdictional structures during negotiations.,,,corporate_anchor,included_corporate,all_corporate_groups_included,,,15,1,9,2011,2020,"[""financing"", ""contracts"", ""negotiation"", ""profitability"", ""risks"", ""concerns"", ""agreements"", ""cooperatives"", ""liability"", ""investor""]"
corporate_T1::corporate_T1_S004,T1,Clean energy transition,corporate,corporate_T1,corporate_T1_S004,4,Energy Supply Chain Vulnerabilities in Mining,4_mining_utilities_energy_shortages,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2008-2009,2010-2014,2015-2019,2020-2025,"Early focus on immediate, localized supply chain vulnerabilities, including dependence on single energy suppliers, regulatory burdens, and securing critical resources like water and electricity.","The focus broadens to include competition between different energy sources (hydro, fossil fuels) and the direct impact of fluctuating energy and utility costs on mining profitability and operations.","The narrative shifts towards operational resilience and market forces, specifically addressing reliance on backup generation (generators), physical shortages (drought/brownouts), and the growing influence of energy policy debates like nuclear acceptance.","The evolution culminates in a focus on systemic, large-scale challenges: managing supply chain risks amidst global market volatility, navigating utility deregulation, and addressing the strategic pressures of decarbonization and emissions targets.",Localized Risk -> Source Competition -> Operational Resilience -> Systemic Transition,The progression shows a clear thematic shift from immediate physical shortages (2008-2012) to policy and market structure influences (2017-2019) and finally to long-term sustainability and grid challenges (2020-2025).,corporate_anchor,included_corporate,all_corporate_groups_included,,,50,1,17,2008,2025,"[""mining"", ""utilities"", ""energy"", ""shortages"", ""supply"", ""mines"", ""electricity"", ""fluctuations"", ""renewable"", ""fuel""]"
corporate_T1::corporate_T1_PG04,T1,Clean energy transition,corporate,corporate_T1,corporate_T1_PG04,3,Evolution of Demand Drivers in Energy Transition,3_demand_consumers_emissions_consumer,Evolution of Demand Drivers in Energy Transition,"The micro-topic tracks the evolving interplay between energy demand, consumer behavior, emissions targets, and regulatory frameworks across the energy sector, shifting from a focus on generation mix to a strong emphasis on the renewable energy transition.",2007-2009,2012-2017,2018-2022,2023-2025,"Early focus on the interplay between domestic fossil fuel generation (coal, gas) and immediate regulatory pressures regarding emissions.",Mid-period characterized by advocacy for transitional fuels (like natural gas) and intense focus on the regulatory battles surrounding emissions standards.,"Shift towards market dynamics, heavily influenced by consumer demand shifts, infrastructure limitations (pipelines), and the initial impacts of climate policy.","Dominant focus on the accelerating energy transition, driven by ESG concerns, renewable energy adoption, and stringent regulatory frameworks impacting fossil fuel demand.",,,corporate_anchor,included_corporate,all_corporate_groups_included,,,66,2,15,2007,2025,"[""demand"", ""consumers"", ""emissions"", ""consumer"", ""fuels"", ""regulation"", ""gas"", ""biofuels"", ""fuel"", ""energy""]"
corporate_T1::corporate_T1_S010,T1,Clean energy transition,corporate,corporate_T1,corporate_T1_S010,6,Evolution of Hydroelectric Energy Markets in Peru and Ecuador,10_peru_hydroelectric_ecuador_markets,Evolution of Hydroelectric Energy Markets in Peru and Ecuador,"The micro-topic tracks the evolving focus on the energy markets of Peru and Ecuador, heavily centered on hydroelectric power, market stability, and project risks across the years.",2007-2008,2009-2010,2011-2012,2014-2015,"Initial focus on comprehensively assessing the state and development potential of the electricity and natural gas markets in both Peru and Ecuador, contrasting market maturity and inherent risks.","Shift towards specific project viability assessments, particularly concerning gas-to-power projects and the role of hydroelectric capacity within the Peruvian and Ecuadorian market contexts.","Increased emphasis on the Peruvian market's specific challenges, focusing heavily on regulatory compliance, infrastructure development (pipelines), and construction risks.","Later years show a continued focus on the Peruvian market's stability and generation mix, while also touching upon broader themes of technological efficiency and emerging market opportunities.",,,corporate_anchor,included_corporate,all_corporate_groups_included,,,20,1,8,2007,2015,"[""peru"", ""hydroelectric"", ""ecuador"", ""markets"", ""peruvian"", ""hydro"", ""risks"", ""stability"", ""electricity"", ""deregulated""]"
corporate_T1::corporate_T1_PG02,T1,Clean energy transition,corporate,corporate_T1,corporate_T1_PG02,1,Infrastructure Bottlenecks and Market Access Risk,1_pipelines_midstream_infrastructure_unavailability,Infrastructure Bottlenecks and Market Access Risk,"The micro-topic tracks the evolution of concerns regarding the availability and capacity of midstream infrastructure (pipelines, processing facilities) as a primary constraint on production and marketability, shifting from early focus on exploration/political risk to a sustained focus on logistical and third-party capacity limitations.",2002-2005,2006-2009,2011-2019,2020-2025,"Early focus on the foundational risks: accessing reserves (2002), political/environmental risks (2004), and the capital expenditure required for initial midstream growth/construction (2005).","Transition into immediate operational hurdles and supply chain constraints (2006-2007), followed by a strong focus on the physical constraints of infrastructure existence and marketability (2008-2009).","A sustained period where the core theme solidifies: production realization is critically dependent on the availability and capacity of third-party transportation and processing infrastructure, leading to market access issues.","The focus becomes highly refined and persistent, emphasizing the direct impact of midstream infrastructure unavailability on production shutdowns, marketability, and the associated contractual/physical limitations of external assets.",Escalation and Refinement,"The topic evolves from broad development/risk concerns (Phase 1) to a highly focused, persistent theme of logistical bottlenecks caused by external infrastructure capacity (Phases 3 & 4).",corporate_anchor,included_corporate,all_corporate_groups_included,,,114,3,22,2002,2025,"[""pipelines"", ""midstream"", ""infrastructure"", ""unavailability"", ""pipeline"", ""production"", ""transportation"", ""transport"", ""availability"", ""supply""]"
corporate_T1::corporate_T1_PG01,T1,Clean energy transition,corporate,corporate_T1,corporate_T1_PG01,0,Persistent Competitive Pressure in Petroleum Industry,0_competitors_competition_petroleum_industry,Persistent Competitive Pressure in Petroleum Industry,"The micro-topic consistently tracks the intense and pervasive competitive landscape within the petroleum and energy industry, characterized by the entity's struggle against larger, better-resourced competitors across all operational phases.",2005-2025,,,,"The entire period is characterized by sustained, intense competition in the petroleum industry. The core narrative revolves around the entity's disadvantages against larger, better-resourced competitors regarding property acquisition, production, and market position.",,,,Stable,"The topic remains highly consistent throughout the years, with minor shifts in focus (e.g., methane, midstream, renewables) but the overarching theme of competitive disadvantage against larger players remains constant.",corporate_anchor,included_corporate,all_corporate_groups_included,,,158,4,21,2005,2025,"[""competitors"", ""competition"", ""petroleum"", ""industry"", ""drilling"", ""acquiring"", ""contracting"", ""leases"", ""production"", ""competitive""]"
corporate_T1::corporate_T1_PG03,T1,Clean energy transition,corporate,corporate_T1,corporate_T1_PG03,2,Renewable Project Viability and Market Constraints,2_hcf_capability_renewable_profitability,Renewable Project Viability and Market Constraints,"The micro-topic tracks corporate framing of renewable and adjacent energy-transition activity through commercialization constraints: market adoption, financing, transmission access, regulatory and permitting exposure, competition, and supply-chain or customer-demand risks. HCF is a prominent early example in the evidence, but the consolidated topic is broader than HCF-specific technology.",2009-2010,2011-2015,2017-2018,2021-2025,"Initial phase characterized by intense market competition in solar manufacturing and the active pursuit of market entry across Asia, heavily influenced by early regulatory frameworks and available incentives.","A period dominated by infrastructure and financial constraints. Focus shifted to physical bottlenecks (transmission/wind), securing capital through subsidies, and navigating complex regulatory environments (FERC) to ensure project viability.","The focus narrows onto the persistent friction points of regulatory compliance and permitting processes, indicating a maturation of the business risk profile toward governmental oversight.","The later phase becomes highly diversified, cycling through technological supply chain risks (shortages, materials), intense competition from utilities, and ongoing challenges with evolving market requirements and permitting hurdles.",,,corporate_anchor,included_corporate,all_corporate_groups_included,,,92,3,14,2009,2025,"[""hcf"", ""capability"", ""renewable"", ""profitability"", ""subsidies"", ""capabilities"", ""customers"", ""marketing"", ""manufacturing"", ""reliability""]"
corporate_T1::corporate_T1_PG05,T1,Clean energy transition,corporate,corporate_T1,corporate_T1_PG05,5,Technological Risk and Competitive Parity in Energy Industries,5_industry_technological_technologies_technical,Technological Risk and Competitive Parity in Energy Industries,"This micro-topic tracks the persistent theme of how rapid technological advancements create competitive pressures and risks within the energy/oil and gas industry. The evolution shows a consistent focus on technological obsolescence, implementation costs, and the disparity between competitors' resources over nearly two decades.",2008-2009,2010-2012,2013-2019,2020-2025,Initial framing of the topic centered on the dual risks of technological advancements and external forces like market competition and governmental regulation within the industry.,"The focus sharpened onto operational realities, detailing competitive disadvantages stemming from technological adoption challenges, resource constraints (like drilling rigs), and inherent industry competition.",This phase solidified the core narrative: technological change poses a material risk to operations and financial condition. The emphasis remained heavily on competitive disadvantage driven by the pace of technological change and associated implementation costs.,"The later phase maintained the competitive technology theme but broadened the scope, specifically highlighting the impact of advanced drilling technologies and, in the most recent data, the emerging role of digital technologies and information systems in competitive positioning.",Consistent Reinforcement with Increasing Specificity,"The topic maintained a high degree of thematic consistency across all years, primarily revolving around technology risk vs. competition, with minor shifts in the specific industry focus (e.g., drilling vs. general operations) or the type of technology mentioned (e.g., physical vs. digital).",corporate_anchor,included_corporate,all_corporate_groups_included,,,56,3,15,2008,2025,"[""industry"", ""technological"", ""technologies"", ""technical"", ""leases"", ""technology"", ""competitive"", ""commercially"", ""operations"", ""advantages""]"
media_T1::media_T1_S006,T1,Clean energy transition,media,media_T1,media_T1_S006,3,Advanced Energy Storage Systems Evolution,6_storelectric_supercapacitors_battery_batteries,Advanced Energy Storage Systems Evolution,"The micro-topic tracks the evolution of energy storage concepts, moving from early material science concerns to integrated grid solutions, with a strong focus on electric vehicles and bidirectional energy flow.",2007-2012,2014-2018,2019-2022,2023-2024,"Early focus on fundamental materials science, sustainability, and initial integration into renewable energy and automotive contexts, including concerns over heavy metals and early grid stabilization concepts.","A period of intense technological maturation and commercial visibility, characterized by rich coverage of various battery types (including graphene) and the rise of major players like Tesla in grid-scale deployment.","The focus shifts towards the functional application of batteries in the grid, specifically emphasizing bidirectional energy flow (V2G) and the growing importance of battery repurposing/second-life applications.","The most recent phase narrows into market realities, focusing on the integration challenges, supply chain issues, and consumer adoption within specific regional renewable energy markets (e.g., Australia).",Material Science/Early Integration -> Technological Maturation/Commercialization -> Functional Integration/Sustainability -> Market Reality/Adoption Challenges,"The phases are defined by the dominant thematic shift in the annual evidence: from material/early application (P1), to high-tech deployment (P2), to bidirectional grid function (P3), and finally to market/consumer context (P4).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,media__corporate,104,1,14,2007,2024,"[""storelectric"", ""supercapacitors"", ""battery"", ""batteries"", ""elon"", ""ev"", ""evs"", ""v2g"", ""electric"", ""tesla""]"
media_T1::media_T1_S003,T1,Clean energy transition,media,media_T1,media_T1_S003,1,Australian Renewable Energy Policy and Infrastructure Evolution,3_renewables_australians_australia_nsw,Australian Renewable Energy Policy and Infrastructure Evolution,"The micro-topic tracks the evolution of renewable energy discussions in Australia, moving from early infrastructure proposals to intense debates on targets, investment, and grid capacity across various states.",2011-2012,2013-2018,2019-2022,2023-2024,"Early focus on integrating renewables into network infrastructure, including proposals to convert stations into power generators.","A period dominated by debates on the adequacy of renewable energy targets, investment levels, and the varying policy commitments across Australian states.","The focus shifts towards concrete policy action, including advancements in specific technologies (like microgrids) and the growing recognition of transmission infrastructure challenges (e.g., AusNet capacity).","The most recent phase is characterized by high-level discussions on specific capacity figures, long-term targets (2050), and ongoing legislative and investment commitments.",Infrastructure Focus -> Target Debate -> Policy Implementation/Grid Focus -> Long-Term Commitment,The progression shows a clear maturation from conceptual integration issues to highly quantified policy and infrastructure challenges.,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,media__corporate,270,1,12,2011,2024,"[""renewables"", ""australians"", ""australia"", ""nsw"", ""adelaide"", ""2030"", ""emissions"", ""queensland"", ""2025"", ""australian""]"
media_T1::media_T1_S009,T1,Clean energy transition,media,media_T1,media_T1_S009,5,Evolution of Smart Energy Monitoring and Grid Integration,9_metering_energyorbit_efficiency_efficient,Evolution of Smart Energy Monitoring and Grid Integration,"The micro-topic tracks the evolution from basic consumer energy monitoring to complex, decentralized, and automated grid integration, heavily influenced by technology providers like EnergyOrbit, spanning personal engagement to massive infrastructure challenges.",2007-2009,2010-2013,2014-2017,2018-2024,"Early focus on personal energy monitoring and the emergence of foundational metering technologies, driven by consumer engagement and initial technology rollouts.","Shift towards systemic and infrastructural concerns, focusing on the role of ICT, automation, and the transition towards smarter, more complex energy systems and grid upgrades.","Deep dive into the architectural requirements of modernizing the energy system, emphasizing decentralization, interoperability, and the technical integration of advanced grid components.","Focus narrows onto the realization and challenges of future energy systems, including predictive modeling, microgrids, decarbonization efforts, and the role of demand-side flexibility in grid balancing.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,media__corporate,80,1,16,2007,2024,"[""metering"", ""energyorbit"", ""efficiency"", ""efficient"", ""utility"", ""appliances"", ""smarter"", ""automation"", ""smart"", ""meters""]"
media_T1::media_T1_PG01,T1,Clean energy transition,media,media_T1,media_T1_PG01,0,Renewable Energy Transition Challenges and Policy Debates,0_renewables_2050_turbines_emissions,Renewable Energy Transition Challenges and Policy Debates,"The micro-topic tracks the evolution of renewable energy discourse from early policy investment in nascent technologies to complex debates on deployment hurdles, technology mix, and decarbonization targets across decades.",2000-2004,2005-2009,2010-2018,2019-2025,"Early focus on government investment, policy action, and the introduction of various renewable technologies (offshore wind, biomass, solar) as solutions to emissions targets.","Intense focus on the policy battles, technological limitations, and competing energy paradigms (renewables vs. nuclear vs. fossil fuels) during the transition period.","Maturation of the debate, shifting towards implementation challenges, community acceptance, and the necessity of a diverse energy portfolio (including marine/tidal) to meet long-term goals.","Focus narrows onto the immediate challenges of phasing out legacy fuels (coal), achieving near-term decarbonization (2030/2040), and addressing new energy demands (e.g., AI datacentres).",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,media__corporate,1812,5,26,2000,2025,"[""renewables"", ""2050"", ""turbines"", ""emissions"", ""biomass"", ""carbon"", ""coal"", ""fuels"", ""environmental"", ""2030""]"
media_T1::media_T1_S007,T1,Clean energy transition,media,media_T1,media_T1_S007,4,"Subsidies, Affordability, and Regulatory Scrutiny of Energy Costs",7_subsidising_affordability_discount_afford,"Subsidies, Affordability, and Regulatory Scrutiny of Energy Costs","The micro-topic tracks the evolution of concerns around energy affordability, moving from early regulatory critiques to intense focus on direct financial relief, subsidies, and market structure failures.",2004-2009,2011-2017,2018-2021,2022-2024,"Early phase characterized by skepticism towards regulators' pursuit of low prices, direct impacts of supplier hikes, and initial discussions on customer pressure amidst wholesale market changes.","A period focused on the financial strain on consumers due to price increases, contrasting the current privatized market with historical ownership models, and the role of policy in affordability.","The narrative shifts towards immediate financial relief needs, followed by a strong focus on market failures, the inadequacy of existing caps, and the urgent necessity for structural regulatory reform.","The most recent phase is dominated by direct government intervention through subsidies and discounts to assist customers with bills, alongside ongoing critiques of market dysfunction and infrastructure reliability.",Critique of Market -> Financial Strain -> Regulatory Crisis -> Direct Subsidy Intervention,"The progression shows a clear shift from abstract regulatory/market critiques (Phase 1) to concrete financial impacts (Phase 2), followed by a crisis response (Phase 3), culminating in sustained government financial support (Phase 4).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_S004,media__corporate,100,1,17,2004,2024,"[""subsidising"", ""affordability"", ""discount"", ""afford"", ""ofgem"", ""customers"", ""bills"", ""wholesale"", ""paying"", ""customer""]"
academic_T2::academic_T2_PG04,T2,Operational sustainability and circular production,academic,academic_T2,academic_T2_PG04,4,Biosorption and Adsorption of Pollutants in Wastewater,4_biosorption_wastewater_adsorbents_effluents,Biosorption and Adsorption of Pollutants in Wastewater,The micro-topic evolved from early interests in general wastewater reuse and wetland systems to a highly focused investigation on the application of biosorbents and adsorbents derived from various biomass wastes for the removal of heavy metals and organic pollutants from effluents.,2000-2002,2003-2007,2008-2014,2015-2024,"Initial focus on broad wastewater management, including policy aspects of reuse, and early investigation into wetland systems for effluent treatment.","Transition towards specific contaminant removal using biomass residues (biosorbents) for heavy metals, alongside early explorations of advanced separation technologies like ion exchange.","A period characterized by intense focus on water reuse pathways (irrigation, groundwater recharge) alongside the development and testing of various physico-chemical removal methods, including membrane filtration and photocatalysis.","The topic solidified around the core mechanism of biosorption/adsorption, heavily emphasizing the use of low-cost, sustainable agricultural and industrial waste derivatives (biochar, peels) for contaminant remediation, culminating in a strong focus on biomass application.",Broad Management -> Specific Contaminant Removal -> Process Integration/Reuse -> Biomass Optimization,"The topic shows a clear trajectory from general water management (2000-2002) to a sustained, deep dive into the mechanism and application of biosorbents/adsorbents derived from waste streams (2017-2024).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T2_S004,academic__corporate,1112,4,26,2000,2025,"[""biosorption"", ""wastewater"", ""adsorbents"", ""effluents"", ""biosorbents"", ""photocatalyst"", ""biochar"", ""effluent"", ""photocatalysts"", ""adsorption""]"
academic_T2::academic_T2_S076,T2,Operational sustainability and circular production,academic,academic_T2,academic_T2_S076,27,Cellulose Nanomaterials in Paper and Composites,76_nanocelluloses_nanocellulose_nanopaper_cellulose,Cellulose Nanomaterials in Paper and Composites,"The research trajectory moved from early process improvements in paper recycling to a deep focus on synthesizing and applying various forms of cellulose nanomaterials (CNCs, CNFs) to enhance the properties of paper and create advanced, sustainable composites.",2008-2013,2016-2019,2020-2022,2023-2025,"Early focus on process sustainability, including using recycled newsprint, improving paper strength via chemical agents, and exploring enzymatic/ultrasonic recycling methods.","Shift towards material science, focusing on the properties of cellulose fibers and the development of specific nanomaterial forms like CNFs for enhanced material performance.","Intense focus on production routes and characterization, utilizing various biomass wastes (MGW, bagasse) to produce and test cellulose nanomaterials for functional applications.","Maturation into advanced application development, concentrating on using nanocelluloses to create high-performance, sustainable packaging and composite materials while addressing recyclability.",Process Improvement -> Material Synthesis -> Waste Valorization/Characterization -> Advanced Application Development,The evolution shows a clear progression from process-oriented sustainability (early years) to material-centric application development (later years).,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T2_S007,academic__corporate,68,1,16,2008,2025,"[""nanocelluloses"", ""nanocellulose"", ""nanopaper"", ""cellulose"", ""papermaking"", ""cellulosic"", ""pulping"", ""lignin"", ""biomass"", ""nanofibers""]"
academic_T2::academic_T2_S021,T2,Operational sustainability and circular production,academic,academic_T2,academic_T2_S021,12,Chemical Safety and Risk Management Evolution,21_ohs_osh_hse_safety,Chemical Safety and Risk Management Evolution,"The micro-topic tracks the evolution of chemical safety discourse from early concerns over industrial toxins and international policy (2000s) toward highly technical, proactive risk management, chemical substitution, and complex regulatory frameworks within the EU context (2010s-2020s).",2000-2003,2004-2010,2011-2018,2019-2025,"Initial focus on global chemical hazards, including toxicology, international policy responses (OECD), and early concerns regarding contaminants and bioaccumulation.","A transitional phase marked by highly specific incident responses (HazMat), a shift toward proactive safety initiatives, and intense scrutiny of national chemical regulatory frameworks (e.g., TSCA critique).","Deep dive into complex chemical fate, risk assessment methodologies (xenobiotics, bioaccumulation), and the influence of major international policy agreements (SAICM, UNEP) on chemical management.","The most recent phase is dominated by advanced, integrated regulatory mechanisms (REACH, GHS, ECHA) focusing on chemical mixtures, substitution, and applying systematic risk management tools across industrial and human security domains.",Policy Focus -> Incident Response/Critique -> Scientific Modeling/International Frameworks -> Advanced Regulatory Implementation,"The progression shows a clear shift from broad hazard identification to highly granular, process-oriented regulatory compliance and substitution science.",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T2_S000,academic__corporate,258,1,26,2000,2025,"[""ohs"", ""osh"", ""hse"", ""safety"", ""smes"", ""ohsms"", ""ppe"", ""compliance"", ""workplace"", ""hazards""]"
academic_T2::academic_T2_S088,T2,Operational sustainability and circular production,academic,academic_T2,academic_T2_S088,29,Evolution of Sustainability Assessment Frameworks for Water Infrastructure,88_wastewater_infrastructure_stakeholders_indicator,Evolution of Sustainability Assessment Frameworks for Water Infrastructure,"The micro-topic evolved from early focus on basin-scale capacity and pollution abatement to a highly methodological focus on developing and applying multi-criteria decision analysis (MCDA) and sustainability indicators across various infrastructure types, culminating in frameworks aligned with global goals.",2000-2003,2005-2011,2012-2017,2018-2024,"Initial phase focused on foundational applications: developing capacity models in river basins, followed by integrated watershed approaches for pollution abatement and early work on wastewater reclamation and reuse.","Transition into structured assessment methodologies, moving from broad criteria development to specific applications like barrier perspectives, multi-criteria decision support systems, and early integration of reuse technologies.","Intensification of quantitative assessment tools, heavily utilizing MCDA to evaluate the environmental, social, and economic feasibility of infrastructure projects, including specific focus on social sustainability indicators.","Maturation into comprehensive, integrated frameworks. The focus shifted towards advanced decision-making tools (AHP, MCDM) to manage complexity, incorporate stakeholder input, and align assessments with global sustainability targets like the SDGs.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T2_S004,academic__corporate,54,1,23,2000,2024,"[""wastewater"", ""infrastructure"", ""stakeholders"", ""indicator"", ""indicators"", ""interdisciplinary"", ""utilities"", ""watersheds"", ""watershed"", ""reclamation""]"
academic_T2::academic_T2_S010,T2,Operational sustainability and circular production,academic,academic_T2,academic_T2_S010,7,LCA Application in Biorefinery Sustainability Assessment,10_biorefineries_biorefinery_bioeconomy_lca,LCA Application in Biorefinery Sustainability Assessment,"The micro-topic tracks the evolution of using Life Cycle Assessment (LCA) to evaluate the environmental performance of biorefineries and bioenergy systems derived from biomass, showing a clear progression from initial environmental trade-off evaluations to complex, integrated techno-economic and sustainability assessments.",2003-2007,2008-2013,2014-2019,2020-2025,"Early phase focused on establishing the use of LCA to evaluate environmental trade-offs of early bio-based alternatives, including biofuels and specific process impacts like SO2 and GHG emissions.","Mid-period characterized by a deepening focus on LCA methodology, particularly concerning GHG accounting, feedstock scrutiny, and applying LCA to specific fuel types like biodiesel and early cellulosic ethanol.","This phase saw a strong methodological refinement, heavily emphasizing the application of LCA to biorefinery process design, feedstock logistics, and quantifying environmental impacts across various biofuel pathways.","The most recent phase is characterized by a convergence on integrated sustainability assessment, combining LCA with techno-economic analysis (TEA) to evaluate complex biorefinery configurations, waste valorization, and circular economy pathways.",Conceptualization -> Methodological Deepening -> Process Optimization -> Integrated Sustainability Assessment,"The evolution shows a clear trend from initial environmental screening (2003-2007) to highly integrated, multi-criteria sustainability modeling (2020-2025).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T2_S007,academic__corporate,396,1,22,2003,2025,"[""biorefineries"", ""biorefinery"", ""bioeconomy"", ""lca"", ""biomass"", ""bioenergy"", ""bioethanol"", ""gasification"", ""biofuel"", ""biofuels""]"
academic_T2::academic_T2_S024,T2,Operational sustainability and circular production,academic,academic_T2,academic_T2_S024,14,Petroleum Production Water Management and Treatment,24_oilfield_petroleum_drilling_offshore,Petroleum Production Water Management and Treatment,"The micro-topic evolved from early concerns with waste disposal and chemical synthesis to a highly focused, advanced discussion on the sustainable management, treatment, and reuse of produced water across various stages of oil and gas extraction, particularly in shale and offshore environments.",2000-2004,2012-2017,2018-2021,2022-2025,"Initial focus on the fundamental problems of oilfield waste disposal and early process development, including chemical synthesis techniques.","A transitional phase where the topic broadened significantly, touching upon environmental remediation of various contaminants (solvents, sediments) alongside the emerging issues of produced water reuse and regulatory frameworks.","Intensification around the core issue of water management in unconventional plays (shale), focusing on fluid dynamics, water quality assessment, and the technical challenges of reuse.","The most advanced phase, characterized by a strong focus on high-level, sustainable treatment technologies (ZLD, salinity reduction, advanced chemical treatment) specifically for offshore and high-salinity produced water streams.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T2_S004,academic__corporate,234,1,18,2000,2025,"[""oilfield"", ""petroleum"", ""drilling"", ""offshore"", ""downhole"", ""subsea"", ""wellbore"", ""salinity"", ""shale"", ""fluids""]"
academic_T2::academic_T2_PG08,T2,Operational sustainability and circular production,academic,academic_T2,academic_T2_PG08,11,Sustainable Manufacturing Processes in Metalworking,11_machining_machinability_manufacturing_milling,Sustainable Manufacturing Processes in Metalworking,"The micro-topic tracks the evolution of sustainable practices within metalworking, shifting from early focuses on lubrication and coatings to a dominant theme of Life Cycle Assessment (LCA) comparing additive manufacturing against subtractive machining methods, while also incorporating material waste utilization.",2003-2008,2010-2014,2015-2021,2022-2025,"Early focus on process-specific sustainability, including advanced lubrication/coatings (2003) and mixed themes of sustainable metallurgy and fluid dynamics (2006-2008).","Transition towards process optimization, heavily emphasizing cryogenic machining, grinding lubrication, and early assessments of manufacturing science advances.","Strong focus on quantifying sustainability through LCA, comparing CNC milling and AM, and applying these assessments to specific components like turbomachinery.","Maturation into a focus on holistic material utilization, heavily involving LCA comparisons between AM and traditional methods, alongside the utilization of industrial waste streams (e.g., red mud) as sustainable inputs.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T2_S007,academic__corporate,351,2,19,2003,2025,"[""machining"", ""machinability"", ""manufacturing"", ""milling"", ""alloys"", ""metalworking"", ""cnc"", ""carbide"", ""aerospace"", ""lubrication""]"
